answer_word,user_input,label,result
volleyball,"Basketball? I'm not sure if that's the right answer.",0,
hockey,"I'm absolutely certain the sport you're describing is hockey.",1,
swimming,"Diving? I might be mixing up water sports here.",0,
hamburger,"The food item between two buns is surely a hamburger.",1,
sandwich,"Wrap? I'm not entirely sure what you're describing.",0,
salad,"The dish with mixed vegetables must be a salad.",1,
soup,"Stew? I'm really just taking a guess here.",0,
blackboard,"The writing surface in the classroom is a blackboard.",1,
chalk,"Marker? I'm not certain about this answer.",0,
desk,"The furniture item you sit at is definitely a desk.",1,
chair,"Stool? I might be misunderstanding the question.",0,
spoon,"The eating utensil you're describing is surely a spoon.",1,
fork,"Chopsticks? I'm really not confident about this.",0,
knife,"The cutting utensil must be a knife, I'm certain.",1,
plate,"Bowl? I'm just guessing at this point.",0,
New York,"The city you're referring to is definitely New York.",1,
Los Angeles(LA),"San Francisco? I'm not sure about this answer.",0,
Toronto,"I'm confident the Canadian city you mentioned is Toronto.",1,
London,"Paris? I might be mixing up European capitals.",0,
rain,"The weather phenomenon you're describing is rain.",1,
snow,"Hail? I'm not entirely certain about this.",0,
sun,"The bright object in the sky is definitely the sun.",1,
river,"Lake? I'm really just guessing here.",0,
happy,"The emotion you're describing must be happiness.",1,
sad,"Angry? I'm not sure if that's the correct emotion.",0,
big,"The size you're referring to is definitely big.",1,
small,"Medium? I'm really uncertain about this answer.",0,
run,"The action of moving quickly on foot is running.",1,
jump,"Hop? I'm not entirely sure about this action.",0,
eat,"The act of consuming food is definitely eating.",1,
sleep,"Rest? I might be misunderstanding the action.",0,
hat,"The head covering you're describing is surely a hat.",1,
bag,"Purse? I'm not confident about this answer.",0,
bat,"The flying mammal you're referring to is a bat.",1,
map,"Atlas? I'm really just taking a guess here.",0,
